performanceResults
calculating performance for Length = 8410, StopPct = 0.021
Trade, Price, TimeStamp, PointValue, slippage, position
Sell, 78.3787, 2008-01-15 09:35, 42000, 35, 0
Buy , 80.06, 2008-02-01 09:40, 42000, 35, 1
Sell, 81.3549, 2008-02-06 13:10, 42000, 35, 0
Buy , 83.1, 2008-02-14 09:35, 42000, 35, 1
Sell, 93.749, 2008-03-05 11:55, 42000, 35, 0
Sell, 71.68, 2008-09-05 09:40, 42000, 35, -1
Buy , 71.7559, 2008-09-12 09:35, 42000, 35, 0
Sell, 70.28, 2008-09-15 09:35, 42000, 35, -1
Buy , 70.449, 2008-09-15 11:05, 42000, 35, 0
Sell, 69, 2008-09-16 09:35, 42000, 35, -1
Buy , 67.7331, 2008-09-18 10:15, 42000, 35, 0
Sell, 66.34, 2008-10-02 09:35, 42000, 35, -1
Buy , 62.863, 2008-10-08 12:55, 42000, 35, 0
Sell, 61.57, 2008-10-10 09:35, 42000, 35, -1
Buy , 61.3723, 2008-10-13 09:45, 42000, 35, 0
Sell, 60.11, 2008-10-15 09:35, 42000, 35, -1
Buy , 57.9111, 2008-10-16 11:25, 42000, 35, 0
Sell, 56.72, 2008-10-22 09:35, 42000, 35, -1
Buy , 54.5929, 2008-10-24 10:15, 42000, 35, 0
Sell, 53.47, 2008-11-20 09:35, 42000, 35, -1
Buy , 54.0517, 2008-11-24 09:35, 42000, 35, 0
Sell, 52.94, 2008-12-03 09:35, 42000, 35, -1
Buy , 51.6728, 2008-12-08 09:35, 42000, 35, 0
Buy , 61.75, 2010-09-23 10:35, 42000, 35, 1
Sell, 62.1078, 2010-09-29 09:35, 42000, 35, 0
Buy , 63.44, 2010-10-08 09:35, 42000, 35, 1
Sell, 71.4278, 2010-11-12 09:35, 42000, 35, 0
Buy , 72.96, 2010-12-13 09:45, 42000, 35, 1
Sell, 71.6334, 2010-12-16 09:35, 42000, 35, 0
Buy , 73.17, 2010-12-21 10:00, 42000, 35, 1
Sell, 74.6487, 2011-01-03 13:00, 42000, 35, 0
Buy , 76.25, 2011-02-02 09:35, 42000, 35, 1
Sell, 75.2459, 2011-02-14 12:10, 42000, 35, 0
Sell, 68.14, 2011-09-23 09:35, 42000, 35, -1
Buy , 67.6821, 2011-09-26 13:15, 42000, 35, 0
Sell, 66.29, 2011-09-30 09:35, 42000, 35, -1
Buy , 65.1908, 2011-10-10 09:35, 42000, 35, 0
Sell, 63.85, 2011-11-25 09:35, 42000, 35, -1
Buy , 64.517, 2011-11-29 11:20, 42000, 35, 0
Sell, 63.19, 2011-12-14 10:20, 42000, 35, -1
Buy , 64.3434, 2011-12-19 09:35, 42000, 35, 0
Sell, 63.02, 2012-05-23 09:35, 42000, 35, -1
Buy , 63.3837, 2012-05-25 09:35, 42000, 35, 0
Sell, 62.08, 2012-06-01 09:35, 42000, 35, -1
Buy , 62.7609, 2012-06-06 09:35, 42000, 35, 0
Sell, 61.47, 2012-06-15 11:20, 42000, 35, -1
Buy , 62.5771, 2012-06-19 09:35, 42000, 35, 0
Sell, 61.29, 2012-11-05 09:35, 42000, 35, -1
Buy , 60.3207, 2012-11-19 09:35, 42000, 35, 0
Sell, 59.08, 2013-06-06 12:50, 42000, 35, -1
Buy , 60.188, 2013-06-17 11:55, 42000, 35, 0
Sell, 58.95, 2013-06-24 09:35, 42000, 35, -1
Buy , 58.0847, 2013-07-01 13:10, 42000, 35, 0
Sell, 56.89, 2013-07-17 09:35, 42000, 35, -1
Buy , 53.7863, 2013-08-13 09:35, 42000, 35, 0
Sell, 52.68, 2013-09-27 13:15, 42000, 35, -1
Buy , 51.1215, 2013-10-03 13:15, 42000, 35, 0
Sell, 50.07, 2013-12-13 09:45, 42000, 35, -1
Buy , 48.0891, 2014-02-04 10:20, 42000, 35, 0
Sell, 47.1, 2014-07-09 10:40, 42000, 35, -1
Buy , 41.6976, 2014-09-12 09:55, 42000, 35, 0
Sell, 40.84, 2014-12-02 10:40, 42000, 35, -1
Buy , 41.1769, 2014-12-03 13:15, 42000, 35, 0
Sell, 40.33, 2015-01-26 09:35, 42000, 35, -1
Buy , 39.1043, 2015-02-02 09:35, 42000, 35, 0
Sell, 38.3, 2015-08-03 09:35, 42000, 35, -1
Buy , 38.7061, 2015-08-07 11:20, 42000, 35, 0
Sell, 37.91, 2015-08-12 11:05, 42000, 35, -1
Buy , 35.2245, 2015-08-25 10:40, 42000, 35, 0
Sell, 34.5, 2015-08-26 11:10, 42000, 35, -1
Buy , 35.1939, 2015-08-27 10:10, 42000, 35, 0
Sell, 34.47, 2015-09-11 11:05, 42000, 35, -1
Buy , 35.1837, 2015-09-14 09:35, 42000, 35, 0
Sell, 34.46, 2015-09-18 09:35, 42000, 35, -1
Buy , 34.9897, 2015-09-21 10:35, 42000, 35, 0
Buy , 41.98, 2016-04-04 11:00, 42000, 35, 1
Sell, 41.1767, 2016-04-08 10:00, 42000, 35, 0
Buy , 42.06, 2016-04-19 12:50, 42000, 35, 1
Sell, 41.3138, 2016-04-22 10:00, 42000, 35, 0
Buy , 42.2, 2016-10-24 09:35, 42000, 35, 1
Sell, 41.5879, 2016-10-27 13:05, 42000, 35, 0
Buy , 42.48, 2016-11-23 09:50, 42000, 35, 1
Sell, 42.6257, 2016-11-29 10:00, 42000, 35, 0
Buy , 43.54, 2016-12-01 09:50, 42000, 35, 1
Sell, 43.4774, 2016-12-08 09:35, 42000, 35, 0
Sell, 36.35, 2017-06-02 10:15, 42000, 35, -1
Buy , 36.9091, 2017-06-08 09:35, 42000, 35, 0
Sell, 36.15, 2018-02-13 09:35, 42000, 35, -1
Buy , 36.5212, 2018-02-21 09:35, 42000, 35, 0
Sell, 35.77, 2018-03-09 09:35, 42000, 35, -1
Buy , 36.3476, 2018-03-13 10:25, 42000, 35, 0
Sell, 35.6, 2018-03-23 13:10, 42000, 35, -1
Buy , 36.2659, 2018-03-29 11:05, 42000, 35, 0
Sell, 35.52, 2018-04-09 10:00, 42000, 35, -1
Buy , 34.7753, 2018-05-04 10:50, 42000, 35, 0
Sell, 34.06, 2018-06-12 12:40, 42000, 35, -1
Buy , 32.8149, 2018-06-19 10:40, 42000, 35, 0
Sell, 32.14, 2018-07-12 09:50, 42000, 35, -1
Buy , 32.0594, 2018-07-24 12:10, 42000, 35, 0
Sell, 31.4, 2018-08-15 12:55, 42000, 35, -1
Buy , 32.0594, 2018-08-17 13:15, 42000, 35, 0
Sell, 31.4, 2018-09-11 09:40, 42000, 35, -1
Buy , 31.0588, 2018-09-20 11:20, 42000, 35, 0
Sell, 30.42, 2018-11-26 10:10, 42000, 35, -1
Buy , 30.9159, 2018-11-28 09:35, 42000, 35, 0
Sell, 30.28, 2019-04-25 10:40, 42000, 35, -1
Buy , 30.3339, 2019-04-29 10:05, 42000, 35, 0
Sell, 29.71, 2019-05-02 09:35, 42000, 35, -1
Buy , 29.0781, 2019-05-14 09:35, 42000, 35, 0
Buy , 33.52, 2019-12-12 09:45, 42000, 35, 1
Sell, 35.851, 2019-12-31 09:35, 42000, 35, 0
Buy , 36.62, 2020-01-02 09:35, 42000, 35, 1
Sell, 35.851, 2020-01-06 09:35, 42000, 35, 0
Sell, 29.2, 2020-02-28 10:15, 42000, 35, -1
Buy , 29.7519, 2020-03-02 11:15, 42000, 35, 0
Sell, 29.14, 2020-03-09 09:35, 42000, 35, -1
Buy , 26.2397, 2020-03-17 10:15, 42000, 35, 0
Sell, 25.7, 2020-03-18 10:05, 42000, 35, -1
Buy , 26.1274, 2020-03-19 09:35, 42000, 35, 0
 
Performance for Sample Period
Profit             : 1954015.14
WorstDrawDown      : -315796.32
NPTWDD             : 618.758 %
#trades            : 75
Avg Rate Of Return : 128.3734 %
Standard Deviation : 136.8866 %
Sharpe Ratio       : 0.93781
 
you will need to process trade table to calculate: % of Winners, Average Winner, Average Loser, # of Winners,# of Losers, and some other characteristics
main
calculating for Length = 8410
0.021: in/out: 1783945.66        -315796.32      1358.5049643                68 / 170069.48       -242128.88       968.692161                7
   1.0e+03 *

    8.4100    0.0000

optimal parameters: Length = 8410, StopPct = 0.021, NPWDD = 5.649
optimal length: 8410, optimal stopPct: 0.021
